qid,query_type,recall@5,recall@10,ndcg@5,ndcg@10,precision@5,precision@10,mrr,ap
PMC10243522_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0784,0.1765,0.7860,0.8611,0.8000,0.9000,1.0000,0.3314
PMC10505077_02::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1961,1.0000,1.0000,1.0000,1.0000,1.0000,0.3716
PMC10953639_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.3333,0.6667,0.1815,0.3228,0.2000,0.2000,0.2000,0.1996
PMC11812455_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0500,0.1500,0.1461,0.2426,0.2000,0.3000,0.2500,0.1015
PMC2631533_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0500,0.2500,0.1312,0.3700,0.2000,0.5000,0.2000,0.1406
PMC3655258_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1961,1.0000,1.0000,1.0000,1.0000,1.0000,0.3922
PMC4276680_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1961,1.0000,1.0000,1.0000,1.0000,1.0000,0.3349
PMC4782654_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PMC5813666_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.1333,0.2000,0.5087,0.4085,0.4000,0.3000,1.0000,0.1807
PMC5813668_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0774
PMC6532396_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.1000,0.1000,0.5531,0.3590,0.4000,0.2000,1.0000,0.1250
PMC6532396_02::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.1500,0.2500,0.4469,0.4230,0.6000,0.5000,0.3333,0.1822
PMC6745118_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0784,0.1569,0.8304,0.8237,0.8000,0.8000,1.0000,0.2473
PMC7456484_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0139
PMC7516301_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.2000,0.3333,0.7227,0.6021,0.6000,0.5000,1.0000,0.3148
PMC7572673_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.2667,0.3333,0.8304,0.6173,0.8000,0.5000,1.0000,0.3861
PMC7995465_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.7500,1.0000,0.7537,0.8712,0.6000,0.4000,1.0000,0.7153
PMC8635719_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1961,1.0000,1.0000,1.0000,1.0000,1.0000,0.3922
PMC8635719_02::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1961,1.0000,1.0000,1.0000,1.0000,1.0000,0.3922
PMC8635719_03::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1961,1.0000,1.0000,1.0000,1.0000,1.0000,0.3725
PMC8635719_04::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.0980,0.1765,1.0000,0.9266,1.0000,0.9000,1.0000,0.3528
PMC8723866_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.1333,0.2667,0.4704,0.4422,0.4000,0.4000,1.0000,0.2662
PMC9794504_01::Q1_Q3_multimodal_diagnosis,Q1_Q3_multimodal_diagnosis,0.1000,0.1500,0.3156,0.2743,0.4000,0.3000,0.3333,0.1083
